person_id,name_cn,english_name_candidate,academy_memberships,first_domestic_academician_year,election_division,election_affiliation,official_homepage_url,verified_doi,verified_title,verified_journal,verified_year,verified_confidence,audit_status,candidate_doi,candidate_title,candidate_evidence,recommended_search_query
ACAD00051,于登云,Dengyun Yu,CAS,2021,信息技术科学部,中国航天科技集团有限公司,https://casad.cas.cn/ysxx2022/ysmd/xxjs/202201/t20220111_4821792.html,10.15982/j.issn.2095-7777.2020.20200113001,,,,原表已有,已核验/已有 DOI,,,,Dengyun Yu | 中国航天科技集团有限公司 | 信息技术科学部 | English journal DOI
ACAD00053,于贵瑞,Guirui Yu,CAS,2019,地学部,中国科学院地理科学与资源研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/201911/t20191121_4724692.html,10.1038/s41561-019-0352-4,,,,原表已有,已核验/已有 DOI,,,,Guirui Yu | 中国科学院地理科学与资源研究所 | 地学部 | English journal DOI
ACAD00054,于起峰,Qifeng Yu,CAS,2009,技术科学部,中国人民解放军国防科学技术大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/200912/t20091203_2681397.html,10.1364/AO.37.004504,,,,原表已有,已核验/已有 DOI,,,,Qifeng Yu | 中国人民解放军国防科学技术大学 | 技术科学部 | English journal DOI
ACAD00059,仝小林,Xiaolin Tong,CAS,2019,生命科学和医学学部,中国中医科学院,https://casad.cas.cn/ysxx2022/ysmd/smkx/201911/t20191121_4724681.html,10.1016/j.gpb.2019.09.007,,,,原表已有,已核验/已有 DOI,,,,Xiaolin Tong | 中国中医科学院 | 生命科学和医学学部 | English journal DOI
ACAD00064,任纪舜,Jishun Ren,CAS,1997,地学部,中国地质科学院地质研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/200906/t20090624_1804331.html,10.1111/1755-6724.14942,,,,原表已有,已核验/已有 DOI,,,,Jishun Ren | 中国地质科学院地质研究所 | 地学部 | English journal DOI
ACAD00066,任詠华,Yonghua Ren,CAS,2001,化学部,香港大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802176.html,10.1016/j.chempr.2023.08.002,,,,原表已有,已核验/已有 DOI,,,,Yonghua Ren | 香港大学 | 化学部 | English journal DOI
ACAD00069,任露泉,Luquan Ren,CAS,2007,技术科学部,吉林大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808277.html,10.1021/acs.nanolett.4c01129,,,,原表已有,已核验/已有 DOI,,,,Luquan Ren | 吉林大学 | 技术科学部 | English journal DOI
ACAD00070,伍小平,Xiaoping Wu,CAS,1997,技术科学部,中国科学技术大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808212.html,10.1155/2011/728617,In Situ Investigation of the Silicon Carbide Particles Sintering,Journal of Nanomaterials,2011,A,已核验/已有 DOI,,,,Xiaoping Wu | 中国科学技术大学 | 技术科学部 | English journal DOI
ACAD00071,伍荣生,Rongsheng Wu,CAS,1999,地学部,南京大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1804245.html,10.1175/1520-0469(1982)039<1774:AAOEBL>2.0.CO;2,An Analysis of Ekman Boundary Layer Dynamics Incorporating the Geostrophic Momentum Approximation,Journal of the Atmospheric Sciences,1982,A,已核验/已有 DOI,,,,Rongsheng Wu | 南京大学 | 地学部 | English journal DOI
ACAD00077,何国威,Guowei He,CAS,2017,数学物理学部,中国科学院力学研究所,https://casad.cas.cn/ysxx2022/ysmd/sxwl/201711/t20171129_4625043.html,10.1103/PhysRevE.70.036309,Two-point closure strategy in the mapping closure approximation approach,Physical Review E,2004,A,已核验/已有 DOI,,,,Guowei He | 中国科学院力学研究所 | 数学物理学部 | English journal DOI
ACAD00078,何国钟,Guozhong He,CAS,1991,化学部,中国科学院大连化学物理研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802294.html,10.1021/jp2044288,"Solvent Effects on 3-Keto-1H-pyrido[3,2,1-kl]phenothiazine Fluorescence in Polar and Protic Solvents",The Journal of Physical Chemistry B,2011,A,已核验/已有 DOI,,,,Guozhong He | 中国科学院大连化学物理研究所 | 化学部 | English journal DOI
ACAD00085,何满潮,Manchao He,CAS,2013,技术科学部,中国矿业大学（北京）,https://casad.cas.cn/ysxx2022/ysmd/jskx/201312/t20131219_4002045.html,10.1155/2019/2380342,Analysis of Strata Behavior Process Characteristics of Gob-Side Entry Retaining,Shock and Vibration,2019,A,已核验/已有 DOI,,,,Manchao He | 中国矿业大学（北京） | 技术科学部 | English journal DOI
ACAD00088,何积丰,Jifeng He,CAS,2005,信息技术科学部,华东师范大学,https://casad.cas.cn/ysxx2022/ysmd/xxjs/200906/t20090624_1807808.html,10.1145/3827964,Denotational and Algebraic Semantics for the SMrCaIT calculus Based on UTP,Formal Aspects of Computing,2026,A,已核验/已有 DOI,,,,Jifeng He | 华东师范大学 | 信息技术科学部 | English journal DOI
ACAD00091,何雅玲,Yaling He,CAS,2015,技术科学部,西安交通大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/201512/t20151224_4502681.html,10.1002/anie.201701816,A Sodium-Ion-Conducting Direct Formate Fuel Cell,Angewandte Chemie International Edition,2017,A,已核验/已有 DOI,,,,Yaling He | 西安交通大学 | 技术科学部 | English journal DOI
ACAD00092,何鸣元,Mingyuan He,CAS,1995,化学部,中国石油化工总公司石油化工科学研究院,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802291.html,10.1021/cm010270w,A Novel Method To Synthesize Amorphous Silica-Alumina Materials,Chemistry of Materials,2002,A,已核验/已有 DOI,,,,Mingyuan He | 中国石油化工总公司石油化工科学研究院 | 化学部 | English journal DOI
ACAD00095,余国琮,Guocong Yu,CAS,1991,化学部,天津大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1802070.html,10.1016/j.ijheatmasstransfer.2015.05.001,An anisotropic turbulent mass transfer model,International Journal of Heat and Mass Transfer,2015,A,已核验/已有 DOI,,,,Guocong Yu | 天津大学 | 化学部 | English journal DOI
ACAD00098,余梦伦,Menglun Yu,CAS,1999,技术科学部,北京宇航系统工程研究所,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808165.html,,,,,,待单人精确检索,,,,Menglun Yu | 北京宇航系统工程研究所 | 技术科学部 | English journal DOI
ACAD00101,佟振合,Zhenhe Tong,CAS,1999,化学部,中国科学院感光化学研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802140.html,10.1021/ja9741178,Zeolites as Templates for Preparation of Large-Ring Compounds,Journal of the American Chemical Society,1998,A,已核验/已有 DOI,,,,Zhenhe Tong | 中国科学院感光化学研究所 | 化学部 | English journal DOI
ACAD00104,侯凡凡,Fanfan Hou,CAS,2009,生命科学和医学学部,南方医科大学,https://casad.cas.cn/ysxx2022/ysmd/smkx/200912/t20091203_2681372.html,10.1186/1471-2369-13-94,China collaborative study on dialysis,BMC Nephrology,2012,A,已核验/已有 DOI,,,,Fanfan Hou | 南方医科大学 | 生命科学和医学学部 | English journal DOI
ACAD00105,侯增谦,Zengqian Hou,CAS,2017,地学部,中国地质科学院地质研究所,https://casad.cas.cn/ysxx2022/ysmd/dxb/201711/t20171129_4625081.html,10.1038/s41467-019-11445-w,Fingerprinting metal transfer from mantle,Nature Communications,2019,A,已核验/已有 DOI,,,,Zengqian Hou | 中国地质科学院地质研究所 | 地学部 | English journal DOI
ACAD00106,侯建国,Jianguo Hou,CAS,2003,化学部,中国科学技术大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802285.html,10.1021/jp044152i,Carbothermal Chemical Vapor Deposition Route to Se One-Dimensional Nanostructures,The Journal of Physical Chemistry B,2005,A,已核验/已有 DOI,,,,Jianguo Hou | 中国科学技术大学 | 化学部 | English journal DOI
ACAD00110,侯朝焕,Chaohuan Hou,CAS,1995,信息技术科学部,中国科学院声学研究所,https://casad.cas.cn/ysxx2022/ysmd/xxjs/200906/t20090624_1807806.html,,,,,,待单人精确检索,,,,Chaohuan Hou | 中国科学院声学研究所 | 信息技术科学部 | English journal DOI
ACAD00112,侯洵,Xun Hou,CAS,1991,信息技术科学部,中国科学院西安光学精密机械研究所,https://casad.cas.cn/ysxx2022/ysmd/xxjs/200906/t20090624_1807804.html,10.1364/OL.38.002911,Process for fabrication of complex 3D microcoils in fused silica,Optics Letters,2013,B,已核验/已有 DOI,,,,Xun Hou | 中国科学院西安光学精密机械研究所 | 信息技术科学部 | English journal DOI
ACAD00118,保铮,Zheng Bao,CAS,1991,技术科学部,西安电子科技大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1807838.html,10.1049/el.2014.3368,High-resolution inverse synthetic aperture radar imaging,Electronics Letters,2015,A,已核验/已有 DOI,,,,Zheng Bao | 西安电子科技大学 | 技术科学部 | English journal DOI
ACAD00119,俞书宏,Shuhong Yu,CAS,2019,化学部,中国科学技术大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/201911/t20191121_4724672.html,10.1002/adma.202100074,Magneto-heated ferrimagnetic sponge,Advanced Materials,2021,A,已核验/已有 DOI,,,,Shuhong Yu | 中国科学技术大学 | 化学部 | English journal DOI
ACAD00121,俞大鹏,Dapeng Yu,CAS,2015,技术科学部,北京大学,https://casad.cas.cn/ysxx2022/ysmd/jskx/201512/t20151224_4502690.html,10.1021/acs.nanolett.8b03154,Atomic-Scale Probing of Reversible Li Migration,Nano Letters,2018,A,已核验/已有 DOI,,,,Dapeng Yu | 北京大学 | 技术科学部 | English journal DOI
ACAD00123,俞昌旋,Changxuan Yu,CAS,2007,数学物理学部,中国科学技术大学,https://casad.cas.cn/ysxx2022/ygys/200906/t20090624_1791976.html,10.1063/1.1288908,Instantaneous spherical electron focusing in a Penning trap,Physics of Plasmas,2000,A,已核验/已有 DOI,,,,Changxuan Yu | 中国科学技术大学 | 数学物理学部 | English journal DOI
ACAD00127,俞汝勤,Ruqin Yu,CAS,1991,化学部,湖南大学,https://casad.cas.cn/ysxx2022/ysmd/hxb/200906/t20090624_1802067.html,10.1021/acs.analchem.5c07656,Universal Integration of Liquid Crystals with Inorganic Inverse Opals,Analytical Chemistry,2026,A,已核验/已有 DOI,,,,Ruqin Yu | 湖南大学 | 化学部 | English journal DOI
ACAD00128,俞飚,Biao Yu,CAS,2021,化学部,中国科学院上海有机化学研究所,https://casad.cas.cn/ysxx2022/ysmd/hxb/202201/t20220111_4821750.html,10.1002/asia.200800462,Current Synthesis of Triterpene Saponins,Chemistry – An Asian Journal,2009,A,已核验/已有 DOI,,,,Biao Yu | 中国科学院上海有机化学研究所 | 化学部 | English journal DOI
ACAD00129,俞鸿儒,Hongru Yu,CAS,1991,技术科学部,中国科学院力学研究所,https://casad.cas.cn/ysxx2022/ysmd/jskx/200906/t20090624_1808163.html,,,,,,待单人精确检索,,,,Hongru Yu | 中国科学院力学研究所 | 技术科学部 | English journal DOI
